Code,Issuer,Type,Underlying,Strike,Maturity,Moneyless,Ratio,Last,%Change,Gearing,EffGearing,IV,Premium,Delta,Turnover,Outstanding,%Outstanding,Calllevel,Issued,AdjLast,Time
11368,SG,EU/CALL,0813,20.28,2019-09-30,7.818,10,0.234,-4.098,9.40171,6.01515,63.4552,2.81818,0.639793,361000,190000,0.475,0,40000000,2.33999997377396,2019-08-22 15:00:00
11370,JP,EU/PUT,0883,13.3,2019-09-30,16.259,10,0.211,7.107,5.4218,-5.40953,18.2931,2.18531,-0.997737,784020,0,0,0,200000000,2.10999995470047,2019-08-22 15:00:00
11371,SG,EU/CALL,1810,14.4,2019-09-03,-61.798,5,0.01,0,178,9.533,150.674,62.3596,0.0535562,0,1847000,3.07833,0,60000000,0.0499999988824129,2019-08-22 15:00:00
11372,GS,EU/PUT,0388,258.38,2019-08-29,2.695,100,0.077,-23,32.6753,-25.8553,23.0203,0.36566,-0.791278,22150,1040000,1.04,0,100000000,7.69999995827675,2019-08-22 15:00:00
11374,HT,EU/CALL,0700,700,2019-12-23,-110.716,100,0.01,0,332.2,8.5041,59.897,111.017,0.0255993,0,13860000,9.24,0,150000000,0.999999977648258,2019-08-22 15:00:00
11420,SG,EU/PUT,0788,1.1,2019-08-30,-40.541,1,0.01,0,185,-6.90848,214.989,41.0811,-0.0373432,0,21318000,21.318,0,100000000,0.00999999977648258,2019-08-22 15:00:00
11432,SG,EU/PUT,0883,13.28,2019-09-30,16.084,10,0.209,6.091,5.47368,-5.46133,18.1306,2.18531,-0.997743,8060,0,0,0,150000000,2.09000006318092,2019-08-22 15:00:00
11442,HS,EU/PUT,HSI,26800,2019-09-27,2.955,7500,0.157,18.939,22.1068,-14.9105,20.5005,1.56838,-0.674475,20680,13590000,9.06,0,150000000,1177.50003933907,2019-08-22 15:00:00
11445,HS,EU/PUT,HSCE,10788,2019-09-27,6.6,4000,0.187,5.056,13.5295,-11.3566,20.5473,0.791298,-0.839397,0,1810000,1.20667,0,150000000,748.000025749207,2019-08-22 15:00:00
11446,HS,EU/PUT,2318,82.88,2020-01-02,-8.47,50,0.047,2.174,38.5319,-10.2494,24.6704,11.0657,-0.265996,217125,23175000,23.175,0,100000000,2.34999991953373,2019-08-22 15:00:00
11447,SG,EU/CALL,3690,78.8,2020-03-31,-12.652,100,0.07,4.478,9.99286,4.46053,46.4285,22.659,0.446372,0,2910000,0.582,0,500000000,7.00000002980232,2019-08-22 15:00:00
11448,MB,EU/CALL,3690,77.88,2020-04-02,-11.337,100,0.094,6.818,7.44149,3.6779,55.9722,24.7748,0.494243,33420,1570000,3.925,0,40000000,9.39999967813492,2019-08-22 15:00:00
11449,HS,EU/CALL,3690,55.03,2019-12-23,21.33,100,0.171,4.268,4.09064,3.4079,50.3944,3.11651,0.833096,0,0,0,0,100000000,17.1000003814697,2019-08-22 15:00:00
11450,BI,EU/PUT,0388,258.38,2019-08-30,2.695,100,0.089,0,28.2697,-19.916,31.6458,0.842607,-0.704501,0,0,0,0,100000000,8.90000015497208,2019-08-22 15:00:00
11452,BI,EU/PUT,0700,318.68,2019-08-26,-4.07,100,0.01,0,332.2,-47.7754,37.8194,4.37086,-0.143815,0,27090000,13.545,0,200000000,0.999999977648258,2019-08-22 15:00:00
11453,MB,EU/CALL,3690,66.88,2019-12-03,4.389,100,0.096,9.091,7.28646,4.51214,54.596,9.33524,0.61925,97840,290000,0.725,0,40000000,9.6000000834465,2019-08-22 15:00:00
11457,BI,EU/CALL,3690,69,2019-12-31,1.358,100,0.073,8.955,9.58219,5.4927,40.6143,9.07791,0.573219,47740,170000,0.0425,0,400000000,7.29999989271164,2019-08-22 15:00:00
11458,BI,EU/CALL,0939,8.29,2019-08-28,-43.674,1,0.01,0,577,15.4764,138.975,43.8475,0.0268221,0,3830000,5.47143,0,70000000,0.00999999977648258,2019-08-22 15:00:00
11459,BI,EU/CALL,1398,7.09,2019-08-28,-44.106,1,0,0,1,-1,0,0,0,0,0,0,0,70000000,0,2019-08-22 15:00:00
11460,BI,EU/CALL,2318,95.85,2019-08-28,-5.853,10,0.01,0,905.5,60.9727,29.0887,5.96356,0.067336,0,6840000,8.55,0,80000000,0.0999999977648258,2019-08-22 15:00:00
11461,JP,EU/CALL,3690,70,2019-12-31,-0.071,100,0.07,9.375,9.99286,5.50818,41.5938,10.0786,0.551211,4850,2530000,1.68667,0,150000000,7.00000002980232,2019-08-22 15:00:00
11464,HS,EU/CALL,3690,68.88,2019-12-31,1.53,100,0.076,10.145,9.20395,5.30878,42.0834,9.33524,0.576794,255520,2630000,1.75333,0,150000000,7.59999975562096,2019-08-22 15:00:00
11467,CS,EU/CALL,1177,7.67,2019-09-30,27.642,10,0.295,0,3.59322,3.43349,61.0257,0.188679,0.955547,0,55000,0.11,0,50000000,2.94999986886978,2019-08-22 15:00:00
11481,CS,EU/CALL,3690,65.88,2019-11-08,5.818,100,0.065,14.035,10.7615,7.34867,32.6246,3.47391,0.682864,201100,125211000,41.737,0,300000000,6.49999976158142,2019-08-22 15:00:00
11483,MB,EU/CALL,2822,15.88,2019-10-03,-8.618,1,0.106,-23.188,137.925,23.3214,24.1414,9.34337,0.169088,0,32000,0.256,0,12500000,0.105999998748302,2019-08-22 15:00:00
11484,MB,EU/CALL,0670,6.18,2020-09-21,-63.492,5,0.054,3.846,14,3.81567,52.74,70.6349,0.272548,16050,110000,0.275,0,40000000,0.270000007003546,2019-08-22 15:00:00
11499,HS,EU/CALL,0883,15.68,2019-12-31,-37.063,10,0.01,0,114.4,10.3507,38.3342,37.9371,0.0904786,0,16760000,16.76,0,100000000,0.0999999977648258,2019-08-22 15:00:00
11503,VT,EU/PUT,0883,12.88,2019-10-04,12.587,10,0.169,3.681,6.76923,-6.73659,15.5576,2.18531,-0.995179,0,40000,0.0666667,0,60000000,1.68999999761581,2019-08-22 15:00:00
11505,UB,EU/PUT,2628,15.88,2019-12-16,-12.265,10,0.044,15.789,41.1364,-8.64983,32.6611,14.6961,-0.210272,415140,920000,0.92,0,100000000,0.439999997615814,2019-08-22 15:00:00
11509,MB,EU/CALL,0338,5.28,2019-10-16,-121.849,1,0.02,0,119,6.33614,111.239,122.689,0.0532449,0,3206000,14.3767,0,22300000,0.0199999995529652,2019-08-22 15:00:00
11517,MB,EU/CALL,0267,12.88,2020-12-31,-41.383,10,0.058,-1.695,15.7069,4.42659,41.603,47.7497,0.281825,0,230000,0.575,0,40000000,0.579999983310699,2019-08-22 15:00:00
11557,MB,EU/CALL,1658,5.58,2019-10-03,-22.907,1,0.016,0,283.75,18.3368,38.1129,23.2599,0.064623,0,0,0,0,40000000,0.0160000007599592,2019-08-22 15:00:00
11560,JP,EU/CALL,3690,78.9,2020-03-27,-12.795,100,0.069,7.813,10.1377,4.49685,46.5401,22.659,0.443578,418140,630000,0.42,0,150000000,6.89999982714653,2019-08-22 15:00:00
11581,MB,EU/CALL,6837,12.38,2019-10-03,-65.73,5,0.02,0,74.7,7.11229,99.8827,67.0683,0.0952114,0,60000,0.15,0,40000000,0.0999999977648258,2019-08-22 15:00:00
11585,MB,EU/CALL,6837,13.38,2019-12-03,-79.116,5,0.02,0,74.7,6.59558,70.6149,80.4552,0.0882942,0,50000,0.125,0,40000000,0.0999999977648258,2019-08-22 15:00:00
11614,HT,EU/CALL,1177,8.08,2020-02-28,23.774,10,0.305,1.667,3.47541,2.80733,55.6274,5,0.807771,15250,280000,0.56,0,50000000,3.05000007152557,2019-08-22 15:00:00
11628,JP,EU/CALL,0699,9.09,2020-02-03,-60.885,10,0.012,0,47.0833,6.28174,54.0493,63.0089,0.133417,0,0,0,0,50000000,0.120000001043081,2019-08-22 15:00:00
11631,MB,EU/CALL,0386,7.88,2019-10-03,-70.194,1,0.02,0,231.5,9.54148,85.9691,70.6264,0.0412159,0,1166000,2.915,0,40000000,0.0199999995529652,2019-08-22 15:00:00
11635,MB,EU/CALL,0066,53.88,2019-10-03,-12.956,5,0.087,-30.952,109.655,17.024,34.6741,13.8679,0.15525,10320,0,0,0,40000000,0.434999987483025,2019-08-22 15:00:00
11643,MB,EU/CALL,0813,20.38,2020-01-03,7.364,10,0.355,0,6.19718,3.87044,59.506,8.77273,0.624548,0,15000,0.0517241,0,29000000,3.54999989271164,2019-08-22 15:00:00
11653,MB,EU/CALL,3968,39.88,2019-10-03,-8.665,10,0.034,-26.087,107.941,20.8725,26.6112,9.59128,0.19337,8330,5420000,13.55,0,40000000,0.34000001847744,2019-08-22 15:00:00
11680,HT,EU/CALL,3323,11.08,2019-09-30,-60.58,10,0.01,0,69,7.16952,100.88,62.029,0.103906,0,640000,0.8,0,80000000,0.0999999977648258,2019-08-22 15:00:00
11704,MB,EU/CALL,3968,45,2020-01-03,-22.616,5,0.152,-10.059,48.2895,9.41345,34.3721,24.6866,0.194938,0,622500,2.64894,0,23500000,0.759999975562096,2019-08-22 15:00:00
11708,SG,EU/CALL,6886,11.1,2019-10-31,4.145,10,0.146,-8.75,7.93151,4.88454,60.4456,8.46287,0.61584,0,1218000,2.03,0,60000000,1.45999997854233,2019-08-22 15:00:00
11710,SG,EU/CALL,2318,78.93,2020-06-30,12.833,100,0.152,-1.299,5.95724,4.25267,30.3158,3.95362,0.713867,0,3650000,0.73,0,500000000,15.1999995112419,2019-08-22 15:00:00
11714,MB,EU/CALL,1347,25.88,2019-12-17,-89.181,10,0.024,-20,57,5.78692,75.0583,90.9357,0.101525,1200,130000,0.481481,0,27000000,0.240000002086163,2019-08-22 15:00:00
11745,JP,EU/CALL,2601,34.93,2019-10-31,-3.191,10,0.16,-6.433,21.1562,9.51445,34.4609,7.91728,0.449723,2468580,1704000,2.13,0,80000000,1.59999996423721,2019-08-22 15:00:00
